slug,name,age,position,score_agg,score_defender,score_passer,score_rebounder,score_scorer,score_shooter,points_per_game_score,made_field_goals_score,offensive_win_shares_score,true_shooting_percentage_score,made_three_point_field_goals_per_game_score,field_goal_pct_score,assists_per_game_score,assist_percentage_score,rebounds_per_game_score,total_rebound_percentage_score,defensive_win_shares_score,steal_percentage_score,block_percentage_score,year,rank_player,rank_player_pct,caliber,0,1,2,3,4,labels_ordered,labels
adebaba01,Bam Adebayo,23,CENTER,3.974503968253969,0.7952251552795031,0.9424890729238555,0.7821198527720268,0.9175983436853002,0.5370715435932828,0.3556245686680469,0.27998619737750174,0.2819875776397516,0.3062226823096389,0.08095238095238096,0.14989648033126296,0.47190591212330346,0.4705831608005521,0.44593972854842423,0.3361801242236025,0.47906602254428343,0.1543377616747182,0.16182137106050148,2021,17.0,0.9576719576719577,star,passer,scorer,defender,rebounder,shooter,"passer,scorer,defender,rebounder,shooter","['passer', 'scorer', 'defender']"
irvinky01,Kyrie Irving,28,POINT GUARD,3.9734292328042327,0.6272321428571428,0.8521825396825398,0.6345899470899472,0.963260582010582,0.8961640211640212,0.38796296296296295,0.283234126984127,0.292063492063492,0.36269841269841274,0.3601851851851852,0.17328042328042328,0.43882275132275134,0.41335978835978837,0.37516534391534395,0.2594246031746032,0.3128306878306878,0.14417989417989419,0.17022156084656084,2021,18.0,0.955026455026455,star,scorer,shooter,passer,rebounder,defender,"scorer,shooter,passer,rebounder,defender","['scorer', 'shooter', 'passer']"
duranke01,Kevin Durant,32,POWER FORWARD,3.933008658008658,0.46768278018278014,0.9123075998075998,0.7362614237614238,0.8748617123617124,0.9418951418951419,0.39316979316979317,0.22263708513708513,0.25905483405483404,0.3876623376623377,0.3783549783549784,0.17587782587782588,0.45731120731120734,0.45499639249639245,0.42141654641654647,0.3148448773448773,0.21299302549302548,0.03926166426166426,0.2154280904280904,2021,19.0,0.9523809523809523,star,shooter,passer,scorer,rebounder,defender,"shooter,passer,scorer,rebounder,defender","['shooter', 'passer', 'scorer']"
townska01,Karl-Anthony Towns,25,CENTER,3.931967448815275,0.5128968253968254,0.9077956061651713,0.8409679089026915,0.9007994018863583,0.7695077064642283,0.3841499884978146,0.26395790200138025,0.25269151138716356,0.29038417299286867,0.37540832758224063,0.10371520588911894,0.45703933747412007,0.4507562686910513,0.46440073613986654,0.3765671727628249,0.28354324821716126,0.06275161030595813,0.16660196687370601,2021,20.0,0.9497354497354498,star,passer,scorer,rebounder,shooter,defender,"passer,scorer,rebounder,shooter,defender","['passer', 'scorer', 'rebounder']"
middlkh01,Khris Middleton,29,SMALL FORWARD,3.9121214364684516,0.6168290491984523,0.9255508173418621,0.7136490168206586,0.9142699202400695,0.741822632867409,0.36039643054568427,0.2853470741530443,0.26852641554134093,0.2723090894732686,0.33050619916291557,0.13900734423122485,0.4757660112137724,0.4497848061280897,0.4187988628287136,0.29485015399194503,0.4509446813551291,0.1459147713811893,0.019969596462133775,2021,21.0,0.9470899470899471,star,passer,scorer,shooter,rebounder,defender,"passer,scorer,shooter,rebounder,defender","['passer', 'scorer', 'shooter']"
vucevni01,Nikola Vucevic,30,CENTER,3.9078473659995403,0.6217650103519669,0.8790545203588682,0.8787094547964114,0.8911893259719348,0.637129054520359,0.37966413618587536,0.29742926155969635,0.214095928226363,0.15562456866804694,0.38253968253968257,0.09896480331262941,0.4408500115021854,0.4382045088566828,0.4779158040027605,0.4007936507936508,0.38190131124913734,0.14567517828387394,0.0941885208189556,2021,22.0,0.9444444444444444,star,scorer,passer,rebounder,shooter,defender,"scorer,passer,rebounder,shooter,defender","['scorer', 'passer', 'rebounder']"
paulch01,Chris Paul,35,POINT GUARD,3.88797123015873,0.7635168650793651,0.9656084656084656,0.6774966931216931,0.8464285714285714,0.634920634920635,0.301984126984127,0.2579365079365079,0.2865079365079365,0.26203703703703707,0.21666666666666667,0.15621693121693123,0.4869378306878307,0.4786706349206349,0.37037037037037035,0.3071263227513228,0.482473544973545,0.21684854497354497,0.06419477513227513,2021,23.0,0.9417989417989417,star,passer,scorer,defender,rebounder,shooter,"passer,scorer,defender,rebounder,shooter","['passer', 'scorer', 'defender']"
davisan02,Anthony Davis,27,POWER FORWARD,3.8839826839826843,0.8746392496392497,0.7579665704665705,0.8979978354978355,0.7922198172198172,0.5611592111592112,0.3747955747955748,0.20553751803751802,0.21188672438672437,0.2607984607984608,0.13102453102453104,0.16933621933621934,0.3811928811928812,0.37677368927368926,0.47504810004810005,0.42294973544973546,0.4239117364117364,0.20929533429533428,0.24143217893217894,2021,24.0,0.9391534391534392,star,rebounder,defender,scorer,passer,shooter,"rebounder,defender,scorer,passer,shooter","['rebounder', 'defender', 'scorer']"
simmobe01,Ben Simmons,24,POINT GUARD,3.877232142857143,0.9019510582010581,0.8893022486772486,0.8882275132275133,0.7419973544973546,0.4557539682539683,0.29060846560846565,0.23005952380952382,0.22132936507936507,0.2496031746031746,0.01917989417989418,0.18697089947089948,0.4560185185185185,0.4332837301587301,0.46296296296296297,0.42526455026455023,0.4976851851851852,0.21684854497354497,0.18741732804232802,2021,25.0,0.9365079365079365,star,defender,passer,rebounder,scorer,shooter,"defender,passer,rebounder,scorer,shooter","['defender', 'passer', 'rebounder']"
roziete01,Terry Rozier,26,SHOOTING GUARD,3.866217571257894,0.7383139187574672,0.7995178358081584,0.5616359447004607,0.9264870285031575,0.8402628434886501,0.3653695169824202,0.2828084997439836,0.2783090117767537,0.31132445809865167,0.3876941457586619,0.14124423963133642,0.4147465437788018,0.38477129202935656,0.3504224270353302,0.21121351766513055,0.4095195425840587,0.1882200460829493,0.1405743300904591,2021,26.0,0.9338624338624338,star,scorer,shooter,passer,defender,rebounder,"scorer,shooter,passer,defender,rebounder","['scorer', 'shooter', 'passer']"
